"","year","species","climate","pStillUp","pStillD","pPiscUp","timing","upstream","downstream","downstream_juv","inriverF","commercialF","bycatchF","indirect","latent","N_pu1A2A","N_pu3A","N_pu4A","N_pu5A","N_pu1B","N_pu2B","N_pu3B","N_pu4B","populationSize"
"1",40,"shad","current",0.0495009627595173,0.0495009627595173,0.292213845952052,1,0.2,0.6,0.95,0,0,0,1,1,20000,112000,161000,295000,105000,0,24000,62000,779000
"2",40,"shad","current",0.113708106484641,0.113708106484641,0.291740068910915,1,0.3,0.7,0.9,0,0,0,1,1,120000,260000,190000,140000,190000,0,0,40000,940000
"3",40,"shad","current",0.169290210821557,0.169290210821557,0.219051703103089,1,1,0.6,0.9,0,0,0,1,1,1000,1000,47000,425000,5000,0,2000,115000,596000
"4",40,"shad","current",0.105937819901532,0.105937819901532,0.177573976176003,1,0.5,0.5,0.95,0,0,0,1,1,1000,9000,53000,648000,22000,0,7000,133000,873000
"5",40,"shad","current",0.125030973222365,0.125030973222365,0.226402047729466,1,0.7,0.6,1,0,0,0,1,1,50000,120000,230000,430000,60000,0,0,90000,980000
"6",40,"shad","current",0.0975487601270017,0.0975487601270017,0.213420911185894,1,1,0.6,0.95,0,0,0,1,1,1000,7000,45000,492000,26000,0,4000,103000,678000
"7",40,"shad","current",0.111829405362209,0.111829405362209,0.355001981416276,1,0,0.5,0.95,0,0,0,1,1,97000,15000,0,0,0,0,0,0,112000
"8",40,"shad","current",0.143571476795067,0.143571476795067,0.177496259041353,1,0.6,1,0.9,0,0,0,1,1,30000,130000,240000,490000,1e+05,0,10000,60000,1060000
"9",40,"shad","current",0.153832775744072,0.153832775744072,0.333125958622868,1,0.5,0.7,0.95,0,0,0,1,1,3000,42000,103000,405000,94000,0,19000,185000,851000
"10",40,"shad","current",0.144133648912329,0.144133648912329,0.156336935276154,1,0.2,0.5,0.9,0,0,0,1,1,18000,110000,205000,346000,68000,0,10000,30000,787000
"11",40,"shad","current",0.0920282863107249,0.0920282863107249,0.225548811636637,1,0.1,0.7,0.95,0,0,0,1,1,55000,143000,115000,85000,48000,0,5000,3000,454000
"12",40,"shad","current",0.0776214528137065,0.0776214528137065,0.2698079571892,1,0.7,0.8,0.95,0,0,0,1,1,40000,180000,260000,390000,90000,0,0,90000,1050000
"13",40,"shad","current",0.166124031096318,0.166124031096318,0.230310444668691,1,0.2,0.5,0.95,0,0,0,1,1,26000,143000,195000,259000,85000,0,27000,15000,750000
"14",40,"shad","current",0.12805907489573,0.12805907489573,0.259309179157189,1,0.1,0.7,0.95,0,0,0,1,1,158000,206000,112000,53000,49000,0,5000,1000,584000
"15",40,"shad","current",0.103126306898313,0.103126306898313,0.218731699775859,1,0.6,0.5,0.95,0,0,0,1,1,2000,11000,42000,388000,21000,0,8000,114000,586000
"16",40,"shad","current",0.119424234268969,0.119424234268969,0.241201941419425,1,0.6,0.5,1,0,0,0,1,1,1000,9000,62000,653000,27000,3000,9000,198000,962000
"17",40,"shad","current",0.158409007284267,0.158409007284267,0.280594398889363,1,0.4,0.9,0.9,0,0,0,1,1,40000,190000,180000,520000,140000,0,10000,130000,1210000
"18",40,"shad","current",0.0760918645022842,0.0760918645022842,0.257845507174053,1,0.7,1,1,0,0,0,1,1,10000,20000,120000,1170000,80000,0,10000,280000,1690000
"19",40,"shad","current",0.111684424951911,0.111684424951911,0.165354206170282,1,0.1,0.5,0.95,0,0,0,1,1,83000,166000,110000,47000,22000,0,3000,0,431000
"20",40,"shad","current",0.0712922868105978,0.0712922868105978,0.32668236154981,1,0.7,0.5,0.9,0,0,0,1,1,6000,39000,61000,283000,34000,0,6000,104000,533000
"21",40,"shad","current",0.0787476649653387,0.0787476649653387,0.22723689155293,1,0.3,0.5,1,0,0,0,1,1,70000,240000,360000,220000,180000,0,10000,20000,1100000
"22",40,"shad","current",0.103717461105257,0.103717461105257,0.276723812178528,1,0.1,0.7,0.9,0,0,0,1,1,68000,156000,136000,99000,73000,0,7000,4000,543000
"23",40,"shad","current",0.100785697244476,0.100785697244476,0.229719894934417,1,0,0.8,1,0,0,0,1,1,109000,15000,0,0,0,0,0,0,124000
"24",40,"shad","current",0.11088112371392,0.11088112371392,0.208415419964477,1,0.3,0.6,0.9,0,0,0,1,1,8000,75000,144000,386000,59000,0,22000,53000,747000
"25",40,"shad","current",0.0688937866309712,0.0688937866309712,0.235512117681123,1,0.5,0.7,0.9,0,0,0,1,1,8000,54000,109000,394000,51000,0,14000,84000,714000
"26",40,"shad","current",0.150582624637102,0.150582624637102,0.30886333884323,1,1,0.9,1,0,0,0,1,1,20000,60000,90000,670000,70000,10000,10000,240000,1170000
"27",40,"shad","current",0.0942628619303372,0.0942628619303372,0.21156932800304,1,1,0.5,0.95,0,0,0,1,1,2000,14000,42000,485000,18000,0,6000,132000,699000
"28",40,"shad","current",0.0811420751819884,0.0811420751819884,0.303820040976028,1,0.5,0.7,1,0,0,0,1,1,4000,50000,122000,522000,79000,0,21000,175000,973000
"29",40,"shad","current",0.129733686431849,0.129733686431849,0.214503261271307,1,0.7,0.6,1,0,0,0,1,1,1000,12000,59000,576000,26000,2000,4000,131000,811000
"30",40,"shad","current",0.0945330686058311,0.0945330686058311,0.276522786970419,1,0.2,0.8,0.95,0,0,0,1,1,120000,380000,250000,160000,110000,0,10000,10000,1040000
"31",40,"shad","current",0.0794903477337293,0.0794903477337293,0.260222506496653,1,0.1,0.6,0.9,0,0,0,1,1,146000,231000,138000,62000,65000,0,1000,5000,648000
"32",40,"shad","current",0.108781621351859,0.108781621351859,0.291083627676028,1,1,0.7,1,0,0,0,1,1,2000,34000,84000,568000,52000,6000,9000,185000,940000
"33",40,"shad","current",0.141136723593825,0.141136723593825,0.292781656418627,1,0.4,0.5,0.9,0,0,0,1,1,2000,28000,81000,398000,51000,0,26000,109000,695000
"34",40,"shad","current",0.10615172649056,0.10615172649056,0.139844273680714,1,0.2,0.6,1,0,0,0,1,1,34000,172000,266000,394000,70000,0,19000,30000,985000
"35",40,"shad","current",0.119707216916628,0.119707216916628,0.239207272386502,1,0.2,0.9,1,0,0,0,1,1,90000,3e+05,240000,260000,110000,0,10000,20000,1030000
"36",40,"shad","current",0.103365990695363,0.103365990695363,0.262456512083852,1,1,0.7,0.9,0,0,0,1,1,1000,8000,34000,350000,22000,2000,5000,118000,540000
"37",40,"shad","current",0.0900588696496137,0.0900588696496137,0.225148366140658,1,0.3,1,0.95,0,0,0,1,1,1e+05,270000,190000,440000,130000,0,10000,50000,1190000
"38",40,"shad","current",0.102972693860182,0.102972693860182,0.247536827388265,1,0.5,0.6,0.9,0,0,0,1,1,3000,30000,79000,305000,49000,0,13000,78000,557000
"39",40,"shad","current",0.135183244153251,0.135183244153251,0.213348070739266,1,0.3,0.8,0.9,0,0,0,1,1,16000,91000,186000,477000,78000,0,16000,73000,937000
"40",40,"shad","current",0.0873534827250279,0.0873534827250279,0.273234457772086,1,1,0.5,1,0,0,0,1,1,6000,34000,83000,447000,42000,4000,9000,164000,789000
"41",40,"shad","current",0.0935760237304839,0.0935760237304839,0.203275482680734,1,0.6,0.6,1,0,0,0,1,1,20000,130000,220000,4e+05,90000,0,30000,60000,950000
"42",40,"shad","current",0.125507224872831,0.125507224872831,0.216369343716108,1,0.4,0.9,1,0,0,0,1,1,10000,40000,120000,830000,120000,0,20000,170000,1310000
"43",40,"shad","current",0.0934755849700449,0.0934755849700449,0.239616088028621,1,0.6,0.6,0.95,0,0,0,1,1,6000,32000,89000,523000,49000,1000,13000,147000,860000
"44",40,"shad","current",0.0745134867561882,0.0745134867561882,0.24153541225042,1,0.8,1,0.9,0,0,0,1,1,1000,18000,73000,619000,33000,0,6000,145000,895000
"45",40,"shad","current",0.104240242162842,0.104240242162842,0.261607176224471,1,0.4,0.9,0.95,0,0,0,1,1,5000,46000,94000,553000,73000,0,26000,138000,935000
"46",40,"shad","current",0.0772485126829011,0.0772485126829011,0.293103327223192,1,0.3,0.7,0.95,0,0,0,1,1,10000,130000,290000,370000,80000,0,0,70000,950000
"47",40,"shad","current",0.131269582288222,0.131269582288222,0.175142751660461,1,0.6,0.5,1,0,0,0,1,1,1000,38000,109000,575000,30000,1000,12000,116000,882000
"48",40,"shad","current",0.162040849953582,0.162040849953582,0.238523417832336,1,0.2,1,0.95,0,0,0,1,1,180000,430000,240000,110000,110000,0,10000,0,1080000
"49",40,"shad","current",0.0926075187317901,0.0926075187317901,0.194402351895157,1,0.4,1,1,0,0,0,1,1,50000,240000,390000,530000,120000,0,60000,110000,1500000
"50",40,"shad","current",0.0663335871317568,0.0663335871317568,0.271351795174214,1,0.2,0.8,1,0,0,0,1,1,140000,450000,350000,220000,160000,0,10000,60000,1390000
"51",40,"shad","current",0.125130174110757,0.125130174110757,0.190393671783714,1,0.8,0.7,0.95,0,0,0,1,1,3000,33000,67000,481000,28000,2000,3000,91000,708000
"52",40,"shad","current",0.0679713842591615,0.0679713842591615,0.349446280205975,1,0.7,0.9,1,0,0,0,1,1,20000,130000,210000,520000,160000,10000,20000,2e+05,1270000
"53",40,"shad","current",0.103735108890789,0.103735108890789,0.234969826349823,1,0.6,0.7,0.95,0,0,0,1,1,3000,20000,103000,445000,29000,1000,13000,139000,753000
"54",40,"shad","current",0.124636767387003,0.124636767387003,0.28114281602771,1,1,0.9,1,0,0,0,1,1,40000,140000,130000,530000,1e+05,10000,20000,210000,1180000
"55",40,"shad","current",0.112186262065947,0.112186262065947,0.239564179947893,1,0.4,0.5,1,0,0,0,1,1,4000,22000,105000,452000,56000,0,18000,109000,766000
"56",40,"shad","current",0.0854848260146938,0.0854848260146938,0.223006540259591,1,0,0.8,0.95,0,0,0,1,1,108000,9000,0,0,0,0,0,0,117000
"57",40,"shad","current",0.0858082497830543,0.0858082497830543,0.228323691881063,1,1,0.5,0.9,0,0,0,1,1,3000,2000,15000,3e+05,13000,0,1000,86000,420000
"58",40,"shad","current",0.0921005967376013,0.0921005967376013,0.194662228109249,1,0,0.7,0.95,0,0,0,1,1,99200,7500,0,0,0,0,0,0,106700
"59",40,"shad","current",0.0902047736777096,0.0902047736777096,0.259151060688902,1,0.6,0.8,0.9,0,0,0,1,1,2000,23000,65000,406000,36000,0,13000,103000,648000
"60",40,"shad","current",0.146758024515509,0.146758024515509,0.189859862614486,1,1,0.6,0.9,0,0,0,1,1,1000,7000,28000,438000,13000,1000,4000,116000,608000
"61",40,"shad","current",0.130016733012119,0.130016733012119,0.216600332089341,1,1,0.8,1,0,0,0,1,1,10000,30000,90000,850000,50000,0,20000,130000,1180000
"62",40,"shad","current",0.105593627633318,0.105593627633318,0.267528109468168,1,1,1,0.95,0,0,0,1,1,10000,30000,90000,720000,20000,10000,40000,240000,1160000
"63",40,"shad","current",0.137349668698356,0.137349668698356,0.289217148886313,1,1,0.9,0.9,0,0,0,1,1,3000,47000,81000,523000,58000,4000,8000,209000,933000
"64",40,"shad","current",0.144719980444638,0.144719980444638,0.195571316716162,1,0.4,0.8,1,0,0,0,1,1,20000,160000,210000,560000,40000,0,10000,1e+05,1100000
"65",40,"shad","current",0.0772093966854836,0.0772093966854836,0.217377971285632,1,0.8,0.5,0.95,0,0,0,1,1,8000,17000,53000,429000,22000,0,8000,113000,650000
"66",40,"shad","current",0.0794467036410384,0.0794467036410384,0.239235229936006,1,0.3,0.6,0.95,0,0,0,1,1,10000,75000,141000,319000,80000,0,20000,59000,704000
"67",40,"shad","current",0.118675372577214,0.118675372577214,0.245585597541838,1,0.8,1,0.95,0,0,0,1,1,20000,10000,110000,820000,110000,0,0,230000,1300000
"68",40,"shad","current",0.0944837091969051,0.0944837091969051,0.322566395281954,1,0.6,0.9,1,0,0,0,1,1,10000,1e+05,110000,560000,60000,0,10000,160000,1010000
"69",40,"shad","current",0.0970150513971663,0.0970150513971663,0.229532978778996,1,0.8,0.6,0.9,0,0,0,1,1,5000,27000,53000,368000,24000,1000,8000,107000,593000
"70",40,"shad","current",0.0891750386082805,0.0891750386082805,0.206504546199562,1,0.8,0.8,0.95,0,0,0,1,1,5000,48000,103000,642000,38000,1000,11000,131000,979000
"71",40,"shad","current",0.102088720979377,0.102088720979377,0.290030705866173,1,0.4,0.9,1,0,0,0,1,1,90000,320000,310000,460000,130000,0,10000,110000,1430000
"72",40,"shad","current",0.110908752670571,0.110908752670571,0.233751443871331,1,0.5,0.7,1,0,0,0,1,1,30000,40000,160000,570000,60000,0,30000,120000,1010000
"73",40,"shad","current",0.139915082453732,0.139915082453732,0.17767088623281,1,0,0.9,0.95,0,0,0,1,1,150000,24000,0,0,0,0,0,0,174000
"74",40,"shad","current",0.0582603783083135,0.0582603783083135,0.22081192038357,1,0.2,0.8,0.9,0,0,0,1,1,50000,216000,194000,224000,83000,0,12000,22000,801000
"75",40,"shad","current",0.0705520189860627,0.0705520189860627,0.368936657493337,1,1,0.7,0.9,0,0,0,1,1,1000,14000,49000,326000,32000,4000,5000,160000,591000
"76",40,"shad","current",0.122046110778571,0.122046110778571,0.226276641176245,1,0.3,0.7,0.95,0,0,0,1,1,9000,87000,216000,478000,94000,1000,26000,66000,977000
"77",40,"shad","current",0.156734717975941,0.156734717975941,0.254673522253399,1,0.2,0.6,0.95,0,0,0,1,1,18000,139000,211000,285000,95000,0,24000,21000,793000
